26&16&17&18&20&22\\ \hline
27&17&18&19&20&22\\ \hline
28&17&18&19&21&23\\ \hline
29&18&19&20&22&24\\ \hline
30&18&20&20&22&24\\ \hline
32&19&21&22&24&26\\ \hline
36&22&23&24&26&28\\ \hline
40&24&25&26&28&31\\ \hline
44&26&27&28&31&33\\ \hline
48&28&29&31&33&36\\ \hline
52&30&32&33&35&38\\ \hline
56&32&34&35&38&40\\ \hline
60&34&36&37&40&43\\ \hline
64&36&38&40&42&45\\ \hline
68&38&40&42&45&48\\ \hline
72&41&42&44&47&50\\ \hline
76&43&45&46&49&52\\ \hline
80&45&47&48&51&55\\ \hline
84&47&49&51&54&57\\ \hline
88&49&51&53&56&59\\ \hline
